Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Federation,Date,MeetCountry,MeetName
Liane Blyn,F,SBD,Single-ply,45,45-49,F-M1,81.5,84,232.5,240,-250,240,175,185,192.5,192.5,210,217.5,228,228,660.5,1,598.27,631.17,524.09,748.76,Yes,USAPL,5/18/2018,USA,Open Nationals
Kristy Hawkins,F,SBD,Wraps,37,35-39,Open,73.94,75,235,250,260,260,135,142.5,-148,142.5,235,248,-249,248,650.5,1,623.99,623.99,549.18,1050.72,No,SPF,11/11/2017,USA,Reebok Record Breakers
Ana Rosa Castellain,F,SBD,Single-ply,31.5,24-34,Heavy,66.96,72,240,247.5,-252.5,247.5,167.5,-172.5,175,175,-200,205,212.5,212.5,635,1,651.85,651.85,575.1,783.86,Yes,IPF,7/24/2017,Poland,World Games
Galina Lyubeznaya,F,SBD,Single-ply,25.5,24-34,Open,67.35,67.5,240,255,260,260,150,-160,-160,150,200,210,220,220,630,1,644.02,644.02,568.14,776.6,Yes,FPR,9/19/2006,Russia,Russian Powerlifting Cup
Marte Elverum,F,SBD,Single-ply,26.5,24-34,Open,72,72,240,247.5,252.5,252.5,-137.5,137.5,145,145,232.5,240,245,245,642.5,2,627.11,627.11,552.38,768.13,Yes,IPF,11/13/2017,Czechia,World Powerlifting Championships
Marina Burik,F,SBD,Single-ply,19.5,20-23,Open,70.35,72,240,250,-255,250,125,135,140,140,210,220,230,230,620,1,614.69,633.13,541.78,752.1,Yes,KPF,3/13/2013,Kazakhstan,Kazakhstan Powerlifting Cup
Andrea Corder,F,SBD,Multi-ply,27,24-34,F_HWT_WPO,79.65,82.5,245,265,275,275,155,-165,165,165,242.5,257.5,272.5,272.5,712.5,5,653.54,653.54,573.29,806.37,No,WPC,11/11/2018,USA,WPO Championships
Rhaea Stinn,F,SBD,Single-ply,29.5,24-34,Open,70.95,72,245,-255.5,257.5,257.5,175,181,186,186,195,207.5,215,215,658.5,2,649.09,649.09,571.98,789.37,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Debbie Damminga,F,SBD,Multi-ply,56,55-59,F_MEM_4_APF,73.65,75,245,262.5,277.5,277.5,-122.5,125,-132.5,125,215,230,240,240,642.5,1,617.87,769.87,543.87,761.06,No,APF,6/8/2018,USA,Equipped Nationals
Patti Lee,F,SBD,Multi-ply,36,35-39,F_LWT_WPO,63.45,67.5,247.5,255,262.5,262.5,127.5,132.5,137.5,137.5,215,227.5,-230,227.5,627.5,3,670.3,670.3,591.83,794.2,No,WPC,11/11/2018,USA,WPO Championships
Kelsey McCarthy,F,SBD,Single-ply,25.5,24-34,Open,70.1,72,250,260.5,265.5,265.5,170,-175,-175,170,205,217.5,225,225,660.5,1,656.45,656.45,578.63,795.44,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Olena Kozlova,F,SBD,Single-ply,23.5,24-34,Open,78.62,84,250,260,268,268,145,155,160,160,225,242.5,-251,242.5,670.5,1,619.59,619.59,543.88,769.15,Yes,IPF,11/3/2014,USA,World Powerlifting Championships
Iryna Yavorska,F,SBD,Single-ply,24.5,24-34,Open,88.8,90,250,260,265,265,165,172.5,-178,172.5,230,250,262.5,262.5,700,1,608.29,608.29,529.39,761.81,Yes,UkrainePF,3/7/2006,Ukraine,Ukrainian Powerlifting Championships
Valeria Shcheglova,F,SBD,Single-ply,22.5,20-23,Open,88.2,90,255,270,280.5,280.5,160,170,-180,170,240,250,260,260,710.5,1,619.24,619.24,539.25,773.54,Yes,FPR,9/19/2006,Russia,Russian Powerlifting Cup
Rebecca Phelps,F,SBD,Multi-ply,26,24-34,Open,73.2,75,255,-275,-275,255,-150,-150,150,150,215,227.5,-237.5,227.5,632.5,1,610.67,610.67,537.64,752.75,No,APF,6/5/2004,USA,Senior Nationals
Natalie Hanson,F,SBD,Single-ply,27,24-34,Open,83.53,84,255,268.5,273.5,273.5,175,185,-191.5,185,195,205,212.5,212.5,671,1,600.05,600.05,524.79,751.82,Yes,IPF,11/13/2017,Czechia,World Powerlifting Championships
Natalya Kuzmina,F,SBD,Single-ply,19.5,20-23,Open,83.4,84,260,270,0,270,150,-160,0,150,240,250,,250,670,1,599.63,617.61,524.48,751.3,Yes,KPF,3/26/2012,Kazakhstan,Republic Kazakhstan Powerlifting Cup
Olga Gemaletdinova,F,SBD,Single-ply,24.5,24-34,Open,120.62,84,280,300,310,310,155,165,172.5,172.5,245,257.5,270,270,752.5,1,601.19,601.19,509.27,728.73,Yes,EPF,5/3/2011,Czechia,European Open Powerlifting Championships
Becca Swanson,F,SBD,Multi-ply,31,24-34,O,109.6,90,295,320,0,320,-217.5,217.5,230,230,280,292.5,-297.5,292.5,842.5,1,685.54,685.54,583.62,828.7,No,APF,7/9/2005,USA,Chicago Summer Bash
Bonica Brown,F,SBD,Single-ply,29.5,24-34,Open,130.55,84,295,-318,318,318,195,205,215,215,250,-265,-265,250,783,1,616.79,616.79,520.48,734.89,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
